Person_ID,Age,Job,Work_Hours,Sleep_Hours,Wake_Up_Time,Exercise_Hours,Family_Time_Hours,Social_Time_Hours,Meditation_Hours,Stress_Level,Life_Satisfaction,Happiness_Level,Actually_Happy,Main_Reason_For_Happiness
1,56,Nurse,6.3,7.418902184689383,06:45,1.2,1.3,1.3,0.37,4.2,6.9,8.2,Yes,Spiritual satisfaction
2,20,Business Owner,6.8,5.949006422577697,06:30,0.0,2.9,1.8,0.18,6.2,5.1,6.7,Yes,Financial stability
3,59,Nurse,8.3,7.98176103894861,05:15,0.0,4.1,2.1,0.52,3.6,7.9,9.4,Yes,Sense of purpose
4,28,Doctor,7.6,8.130999522495951,07:00,1.0,2.0,1.7,0.35,4.5,8.9,7.4,Yes,Inner peace
5,44,Doctor,6.4,7.024196254971814,07:15,1.1,1.0,0.5,0.07,6.0,3.7,4.7,No,Relationship problems
6,49,Nurse,9.4,6.880328112162488,06:00,0.0,2.0,1.3,0.58,7.0,5.6,6.9,Yes,Inner peace
7,28,Lawyer,7.5,6.23840194575167,06:30,0.9,3.1,1.0,0.46,3.6,7.6,8.3,Yes,Financial stability
8,49,Government Employee,6.8,6.156943191532737,07:00,0.3,1.0,2.1,0.22,8.0,3.5,4.2,No,Work stress
9,36,Farmer,7.9,5.931321962380467,07:30,1.1,2.5,0.7,0.37,7.1,6.3,6.6,Yes,Spiritual satisfaction
10,37,Sales Executive,6.2,5.549336568933867,06:45,0.9,0.0,1.6,0.6,3.7,5.8,8.3,Yes,Spiritual satisfaction
11,19,Software Engineer,8.4,7.88182287177731,05:45,0.0,1.9,1.3,0.74,7.1,4.9,6.1,Yes,Spiritual satisfaction
12,33,Data Analyst,5.1,7.834501064880046,05:00,0.0,1.8,2.3,0.44,2.1,9.9,8.7,Yes,Inner peace
13,55,Accountant,9.3,6.86040549180619,07:15,1.0,3.2,2.1,0.19,7.2,7.3,6.1,Yes,Sense of purpose
14,54,Government Employee,7.6,7.706129363099085,05:30,0.3,0.3,0.8,0.41,7.1,4.7,6.9,Yes,Supportive relationships
15,49,Bank Employee,9.6,7.151360859479635,07:30,1.2,2.2,2.6,0.0,6.7,5.3,5.5,No,Academic pressure
16,40,Bank Employee,7.8,6.327174785462428,06:30,0.1,3.0,1.3,0.0,7.6,4.3,6.5,Yes,Career satisfaction
17,56,Nurse,7.4,7.538022597421675,07:45,0.3,0.0,1.3,0.06,4.2,8.2,7.3,Yes,Inner peace
18,42,Government Employee,7.5,7.283855514409558,06:00,0.9,3.5,0.1,0.7,5.9,6.1,7.2,Yes,Personal growth
